id,name,type,program,payout,payout_type,est_gross_margin,est_cvr,approval_rate,denial_rate,continuity,competition,compliance_flag,production_cost,owner_time,offer_score,url,tracking_param,status,updated_at
off_01,"三井住友カード ビジネスオーナーズ（法人カード）",affiliate,"A8.net / ポイントサイト経由(ハピタス/モッピー)","13000-21000",cpa,0.9,0.04,unknown,unknown,low,high,OK,low,low,58,"https://www.a8.net/campus/as/create/creditcard.html","utm_source=riops&utm_medium=affiliate&utm_campaign=smbc_bo",active,2026-07-29
off_02,"JCB Biz ONE（法人カード）",affiliate,"A8.net",8000,cpa,0.9,0.04,unknown,unknown,low,high,OK,low,low,55,"https://exidea.co.jp/blog/accounting/corporate-card/smbc-jcb-biz-one/","utm_source=riops&utm_medium=affiliate&utm_campaign=jcb_bizone",active,2026-07-29
off_03,"freee会計 有料登録（法人向け問い合わせ含む）",affiliate,"もしもアフィリエイト / A8.net","2000-8000",cpa,0.9,0.03,unknown,unknown,medium,high,OK,low,low,54,"https://www.freee.co.jp/affiliate/","utm_source=riops&utm_medium=affiliate&utm_campaign=freee",active,2026-07-29
off_04,"マネーフォワード クラウド会計/経費",affiliate,"A8.net / もしもアフィリエイト",unknown,cpa,0.9,0.03,unknown,unknown,high,high,OK,low,low,52,"https://bundle.jp/application_catalogs/accounting/moneyforward_accounting","utm_source=riops&utm_medium=affiliate&utm_campaign=mfcloud",active,2026-07-29
off_05,"Airペイ / Airレジ（決済端末・POS）",affiliate,"A8.net等ASP(要確認) / 公式紹介",unknown,cpa,0.85,0.05,unknown,unknown,medium,high,OK,low,low,53,"https://airregi.jp/partner/square/","utm_source=riops&utm_medium=affiliate&utm_campaign=airpay",active,2026-07-29
off_06,"Square（決済端末・POS 手数料3.25%〜）",affiliate,"Square紹介プログラム / ASP(要確認)",unknown,cpa,0.85,0.05,unknown,unknown,medium,medium,OK,low,low,55,"https://squareup.com/jp/ja/app-marketplace/app/airregi","utm_source=riops&utm_medium=affiliate&utm_campaign=square",active,2026-07-29
off_07,"STORES決済（決済端末）",affiliate,"ASP(要確認) / 公式パートナー",unknown,cpa,0.85,0.04,unknown,unknown,medium,medium,OK,low,low,50,"https://stores.fun/magazine/articles/cashless-payment-terminals-guide","utm_source=riops&utm_medium=affiliate&utm_campaign=stores",active,2026-07-29
off_08,"レストランボード（予約台帳 初期/月額0円）",affiliate,"公式紹介 / ASP(要確認)",unknown,cpa,0.8,0.06,unknown,unknown,medium,high,OK,low,low,52,"https://ubiregi.jp/pos-regi-guide/reservation_management_system","utm_source=riops&utm_medium=affiliate&utm_campaign=restaurantboard",active,2026-07-29
off_09,"トレタ（予約管理・AI電話予約）",affiliate,"公式パートナー紹介(要問合せ)",unknown,cpa,0.7,0.03,unknown,unknown,high,medium,OK,low,medium,45,"https://www.inshokuten.com/foodist/article/7028/","utm_source=riops&utm_medium=affiliate&utm_campaign=toreta",active,2026-07-29
off_10,"ebica（予約管理・AI電話予約さゆり）",affiliate,"公式パートナー紹介(要問合せ)",unknown,cpa,0.7,0.03,unknown,unknown,high,medium,OK,low,medium,45,"https://www.inshokuten.com/foodist/article/7028/","utm_source=riops&utm_medium=affiliate&utm_campaign=ebica",active,2026-07-29
off_11,"TableCheck（予約・事前決済でノーショー対策）",affiliate,"公式パートナー紹介(要問合せ)",unknown,cpa,0.7,0.03,unknown,unknown,high,medium,OK,low,medium,44,"https://ubiregi.jp/pos-regi-guide/reservation_management_system","utm_source=riops&utm_medium=affiliate&utm_campaign=tablecheck",active,2026-07-29
off_12,"AIシフト管理SaaS（月1-3万円）",affiliate,"各社紹介プログラム(要確認)",unknown,cpa,0.75,0.04,unknown,unknown,medium,low,OK,low,low,50,"https://renue.co.jp/posts/ai-shift-management-auto-scheduling-optimization-guide-2026","utm_source=riops&utm_medium=affiliate&utm_campaign=ai_shift",active,2026-07-29
off_13,"AI発注・需要予測SaaS（月2-5万円）",affiliate,"各社紹介プログラム(要確認)",unknown,cpa,0.75,0.04,unknown,unknown,high,low,OK,low,medium,49,"https://dealca.co.jp/blog/restaurant-ai-automation-2026.html","utm_source=riops&utm_medium=affiliate&utm_campaign=ai_order",active,2026-07-29
off_14,"AI電話予約ボイスボット（月1-3万円）",affiliate,"各社紹介プログラム(要確認)",unknown,cpa,0.75,0.04,unknown,unknown,high,low,OK,low,medium,50,"https://aetheris-jp.com/blog/026","utm_source=riops&utm_medium=affiliate&utm_campaign=voicebot",active,2026-07-29
off_15,"自社商品:飲食店 利益改善 診断→スポットコンサル",own_product,"自社(YU HOLDINGS)","30000-100000",one_time,0.85,0.08,unknown,unknown,low,low,OK,medium,high,74,"https://collabopartner.com/2026/02/14/restaurant-consulting-guide-pricing-success-cases/","utm_source=riops&utm_medium=owned&utm_campaign=profit_diagnosis",active,2026-07-29
off_16,"自社商品:利益改善 月額顧問コンサル（月10-25万）",own_product,"自社(YU HOLDINGS)","100000-250000",subscription,0.8,0.03,unknown,unknown,high,low,OK,high,high,72,"https://www.rockhill.jp/blog/management/887/","utm_source=riops&utm_medium=owned&utm_campaign=retainer_consult",active,2026-07-29
off_17,"自社商品:飲食店AI業務自動化 導入代行/設定パック",own_product,"自社(YU HOLDINGS)","50000-200000",one_time,0.8,0.05,unknown,unknown,medium,low,OK,high,high,68,"https://dealca.co.jp/blog/restaurant-ai-automation-2026.html","utm_source=riops&utm_medium=owned&utm_campaign=ai_setup",active,2026-07-29
off_18,"自社商品:固定費/決済手数料 削減 見直しパッケージ",own_product,"自社(YU HOLDINGS)","30000-80000",one_time,0.85,0.06,unknown,unknown,low,low,OK,medium,high,71,"https://dinii.jp/document/article/insyokuten_jinkenhi_sakugen/","utm_source=riops&utm_medium=owned&utm_campaign=cost_cut",active,2026-07-29
