# =====================================================================
# instagram_posts_queue.csv — Instagram カルーセル投稿 下書きキュー
# =====================================================================
# 作成: 2026-08-14（TASK-CLAUDE-001 Instagram自動運用・第一弾）
# 位置づけ: 公開済みWordPress記事（wordpress_posts_queue.csv）をInstagram
#   カルーセル投稿向けにリパーパスした下書きの管理表。
#   テンプレート: prompts/instagram_prompt_templates.md（8枚構成）
#
# 重要: Instagram Graph APIの自動投稿はMetaビジネスアカウント審査が必要
#   （TASK.md 2026年8月時点で審査状況未確認）。このキューは審査状況に
#   関わらず「下書き準備のみ」を行う。投稿は必ずゆうさんが手動で実施する
#   （CLAUDE.md 本番投稿ルール・DEV_RIO_700系と同じ設計思想）。
#
# カラム定義:
#   id                : 一意ID（例: IG-001）
#   source_wp_id      : 元記事のWordPress記事ID（wordpress_posts_queue.csvのid）
#   theme             : カルーセルのテーマ・切り口
#   qa_score          : セルフレビュースコア（100点満点）
#   draft_status      : not_started / draft_saved / qa_passed / posted
#   file_path         : instagram_drafts/配下のMarkdownファイル名
#   images_status      : none / generated（instagram_drafts/images/<id>/slide-01〜08.png）
#   added_date        : このキューに追加した日 YYYY-MM-DD
#
# 画像生成について: AI画像生成（ChatGPT/Canva）は日本語テキストの描画精度が
#   不安定だったため、scripts/render_instagram_carousels.js（HTML+CSSを
#   Puppeteer/既存Chromeでスクリーンショット化）に切り替えた。文字はAI生成
#   ではなく scripts/instagram_carousel_data.json のテキストをそのまま描画
#   するため、文字化け・要約リスクがない。再生成: node scripts/render_instagram_carousels.js
#
# 注意: 行頭が「#」の行はコメント。
id,source_wp_id,theme,qa_score,draft_status,file_path,images_status,added_date
IG-001,WP-011,店頭の販促グッズで「素通り」を止める,94,qa_passed,IG-001_hansoku_goods.md,generated,2026-08-14
IG-002,WP-023,帳簿は5ステップ＋まねで今日から始められる,95,qa_passed,IG-002_choubo_tsukekata.md,generated,2026-08-14
IG-003,WP-032,Googleマップの口コミを増やす方法と返信ルール,95,qa_passed,IG-003_google_kuchikomi.md,generated,2026-08-14
IG-004,WP-030,経費にできるか迷ったら3つの質問で判断,93,qa_passed,IG-004_keihi_ichiran.md,generated,2026-08-14
IG-005,WP-033,開業手続きで期限があるのは実は2枚だけ,94,qa_passed,IG-005_kaigyo_checklist.md,generated,2026-08-14
IG-006,WP-025,無料でGoogleマップに店を載せる登録5ステップ,94,qa_passed,IG-006_gbp_touroku.md,generated,2026-08-14
IG-007,WP-026,初めての青色申告は申請書1枚から始まる,94,qa_passed,IG-007_aoiro_shinkoku.md,generated,2026-08-14
IG-008,WP-021,紙の契約書の見えないコストは仕組みで消せる,93,qa_passed,IG-008_denshi_keiyaku.md,generated,2026-08-14
IG-009,WP-022,電話予約の取りこぼしをLINE予約で減らす,94,qa_passed,IG-009_line_yoyaku.md,generated,2026-08-14
IG-010,WP-024,インボイス登録の判断は取引先が誰かでほぼ決まる,94,qa_passed,IG-010_invoice_touroku.md,generated,2026-08-14
