post_id,day,post_type,content
post_1,day_1,shared_experience,ネガティブな口コミ、返信できずにそのままにしていませんか。「どう返せばいいかわからない」「下手に返すと余計こじれそうで怖い」そう感じて見て見ぬふりをしてしまうのは、真面目にお店をやっているオーナーさんほど多い気がします。ただ、返信のないネガティブ口コミは次に来るか迷っているお客さんも読んでいます。まずは「返せない理由」を一つずつ減らすところからで大丈夫です。
post_2,day_2,how_to_reply,「待ち時間が長かった」という口コミへの返信例を、1本まるごと置いておきます。--- ご来店いただきありがとうございます。お待ち時間が長くなってしまいご不便をおかけし、大変申し訳ございませんでした。混雑状況の事前共有や待ち時間短縮に向けた改善に取り組んでまいります。またの機会をいただけますなら、より快適にお過ごしいただけるよう精一杯対応いたします。--- 型は「感謝→お詫び→改善の方向性→次への一言」。反論や言い訳を入れないのがポイントです。
post_3,day_3,shared_experience,高評価の口コミほど、返信を後回しにしがちです。「お礼を書かなきゃ」と思いながら数日たって、今さら返すのも変かなと、結局そのまま。心当たりのあるオーナーさん、いると思います。高評価をくれた人は、お店のファンになってくれるかもしれない人。遅れてもいいので、お礼は伝えたほうがいいと私は思います。「お返事が遅くなり申し訳ありません」から始めれば大丈夫です。
post_4,day_4,how_to_reply,スタッフを褒めてもらえた口コミへの返信例です。--- 温かいクチコミをいただきありがとうございます。スタッフの対応にご満足いただけたとのこと、本人をはじめスタッフ全員の励みになります。お客様に「また来たい」と感じていただけるよう、日々の接客を大切にしております。またのご来店をスタッフ一同お待ちしております。--- 型は「感謝→褒められた点に触れる→日頃の姿勢→再来店の一言」。口コミで褒められた内容に1行触れるだけで、コピペ感はかなり消えます。
post_5,day_5,shared_experience,事実と違う（と感じる）口コミが来たとき、「そのような事実はありません」と書きたくなりますよね。その気持ちは、すごくわかります。でも強い否定の返信は、書いた本人よりも「これから行くか迷っている人」に読まれます。おすすめは、否定ではなく確認の姿勢。「詳しい状況を確認したいので、よろしければ直接ご連絡いただけますか」この形なら、読んだ第三者にも誠実さが伝わりやすくなります。
post_6,day_6,how_to_reply,口コミ返信で、やってしまいがちなNGを3つ。1. テンプレの[店舗名]を書き換え忘れたまま投稿 2. ネガティブ口コミに「事実と異なります」と強く否定 3. 「また口コミ書いてください」と投稿をお願いする → 金品や特典で口コミを誘導するのはGoogleの規約違反になります返信は250〜400文字くらいが読まれやすい目安。凝った文章より、「ちゃんと反応しているお店」だと伝わることが大事です。
post_7,day_7,announcement,口コミ返信の文例、これまで何本か紹介してきました。高評価へのお礼、ネガティブへのお詫び、事実と違うときの確認の仕方。これらは、店舗向けに作った返信テンプレート30本の一部です。高評価12本・ふつう8本・ネガティブ7本・業種別3本。美容室・飲食店・整体院を想定しています。毎回ゼロから返信文を考える負担を、少しでも減らせたらと思って作りました。全パターン（30本）は¥980でまとめています。気になる方はプロフィールからどうぞ。
post_8,day_8,shared_experience,★5でも★1でもない、★3の口コミ。実はこれが一番返信に困るという声をよく聞きます。「悪くはないけど特別でもない」という温度の文章に、無理やり満点の感謝を書くと嘘っぽくなるし、かといって謝るような内容でもありません。私がおすすめしているのは、書かれている内容から一つだけ具体的に拾って返すこと。「メニューの種類についてのご意見、今後の参考にさせていただきます」くらいの温度で十分だと思います。★3の口コミ、皆さんはどう返していますか。
post_9,day_9,how_to_reply,「メニューが少ない」「駐車場が停めにくい」など、辛口だけど具体的な指摘をくれる口コミへの返信例です。--- 貴重なご意見をありがとうございます。◯◯の点でご不便をおかけし申し訳ございませんでした。いただいたご指摘は今後の改善の参考にさせていただきます。より良いお店づくりに努めてまいります。--- 型は「感謝→指摘箇所への言及→改善への意欲→今後の一言」。反論せず、指摘の中身に一度触れるのがポイントです。感情的な低評価より、こういう具体的な指摘のほうが実は改善のヒントになります。
post_10,day_10,shared_experience,繁忙期に口コミ返信が後回しになって、気づいたら1ヶ月分たまっている。こういう状態になったことのあるオーナーさん、多いと思います。私も繁忙期に3週間分を溜めたことがあります。ただ、まとめて返信するときも「お返事が大変遅くなり申し訳ございません」の一言を最初に添えるだけで、印象はかなり変わります。全部を完璧に返そうとせず、直近の分から手をつけるくらいでちょうどいいと思っています。皆さんは口コミ返信、どのタイミングでまとめてやっていますか。
