id,content_id,media,scheduled,status,approver_action,url
post_4,threads_draft_004,threads,2026-08-04T21:00:00+09:00,scheduled,yuya_tokuda,https://brain-market.com/u/ai_store_yuya/a/b1MTM1UjMgoTZsNWa0JXY
post_5,threads_draft_005,threads,2026-08-05T21:00:00+09:00,scheduled,yuya_tokuda,https://brain-market.com/u/ai_store_yuya/a/b1MTM1UjMgoTZsNWa0JXY
post_6,threads_draft_006,threads,2026-08-06T21:00:00+09:00,scheduled,yuya_tokuda,https://brain-market.com/u/ai_store_yuya/a/b1MTM1UjMgoTZsNWa0JXY
post_7,threads_draft_007,threads,2026-08-09T21:00:00+09:00,scheduled_pending,yuya_tokuda,https://brain-market.com/u/ai_store_yuya/a/b1MTM1UjMgoTZsNWa0JXY
post_8,threads_draft_008,threads,2026-08-07T21:00:00+09:00,scheduled,yuya_tokuda,https://brain-market.com/u/ai_store_yuya/a/b1MTM1UjMgoTZsNWa0JXY
post_9,threads_draft_009,threads,2026-08-08T21:00:00+09:00,scheduled,yuya_tokuda,https://brain-market.com/u/ai_store_yuya/a/b1MTM1UjMgoTZsNWa0JXY
post_10,threads_draft_010,threads,2026-08-10T21:00:00+09:00,scheduled,yuya_tokuda,https://brain-market.com/u/ai_store_yuya/a/b1MTM1UjMgoTZsNWa0JXY
post_11,threads_draft_011,threads,2026-08-11T21:00:00+09:00,scheduled,yuya_tokuda,https://brain-market.com/u/ai_store_yuya/a/b1MTM1UjMgoTZsNWa0JXY
post_12,threads_draft_012,threads,2026-08-12T21:00:00+09:00,scheduled,yuya_tokuda,https://brain-market.com/u/ai_store_yuya/a/b1MTM1UjMgoTZsNWa0JXY
post_13,threads_draft_013,threads,2026-08-13T21:00:00+09:00,scheduled,yuya_tokuda,https://brain-market.com/u/ai_store_yuya/a/b1MTM1UjMgoTZsNWa0JXY
post_14,threads_draft_014,threads,2026-08-14T21:00:00+09:00,scheduled,yuya_tokuda,https://brain-market.com/u/ai_store_yuya/a/b1MTM1UjMgoTZsNWa0JXY
